Event,Type
Athletics Women's 100 metres Hurdles,Single
"Athletics Men's Discus Throw, Greek Style",Single
Curling Women's Curling,Team
Sailing Mixed One Person Dinghy,Single
"Wrestling Women's Heavyweight, Freestyle",Team
Badminton Mixed Doubles,Team
"Fencing Women's Foil, Individual",Single
Sailing Mixed Two Person Keelboat,Team
"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Team
Table Tennis Men's Doubles,Team
"Wrestling Men's Light-Flyweight, Freestyle",Team
"Wrestling Women's Featherweight, Freestyle",Single
Swimming Women's 200 metres Freestyle,Single
Swimming Women's 400 metres Freestyle,Single
Swimming Women's 200 metres Individual Medley,Single
Sailing Men's Windsurfer,Single
Freestyle Skiing Men's Slopestyle,Single
"Shooting Men's Running Target, Single Shot",Single
"Shooting Men's Running Target, Double Shot",Single
Rugby Sevens Men's Rugby Sevens,Team
"Wrestling Women's Lightweight, Freestyle",Team
Modern Pentathlon Women's Individual,Single
"Canoeing Men's Canadian Doubles, Slalom",Team
Judo Women's Half-Lightweight,Single
Diving Women's Plain High,Single
"Equestrianism Men's Dressage, Individual",Single
"Equestrianism Men's Dressage, Team",Team
"Tennis Women's Singles, Covered Courts",Single
Diving Men's Plain High,Single
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Single
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Single
Swimming Women's 800 metres Freestyle,Single
Sailing Women's Two Person Dinghy,Team
Alpine Skiing Women's Downhill,Single
"Shooting Men's Free Pistol, 50 metres, Team",Team
"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Team
"Shooting Men's Military Rifle, Prone, 300 metres, Team",Team
"Shooting Men's Military Rifle, Prone, 600 metres, Team",Team
"Shooting Men's Military Rifle, Standing, 300 metres, Team",Team
"Shooting Men's Free Rifle, Prone, 600 metres",Single
"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",Team
Rowing Men's Single Sculls,Single
"Cycling Men's Tandem Sprint, 2,000 metres",Team
Freestyle Skiing Women's Halfpipe,Single
Athletics Women's Heptathlon,Single
Cycling Men's Points Race,Single
Synchronized Swimming Women's Solo,Team
"Equestrianism Mixed Dressage, Individual",Single
"Equestrianism Mixed Dressage, Team",Team
Cross Country Skiing Men's 18 kilometres,Single
Swimming Men's 100 metres Breaststroke,Single
Figure Skating Mixed Ice Dancing,Single
"Shooting Mixed Free Pistol, 50 metres",Single
Sailing Women's Skiff,Single
"Canoeing Men's Kayak Doubles, 10,000 metres",Team
Triathlon Men's Olympic Distance,Single
Sailing Women's One Person Dinghy,Single
Cross Country Skiing Women's 30 kilometres,Single
Cross Country Skiing Women's 15 km Skiathlon,Single
Rowing Men's 17-Man Naval Rowing Boats,Team
Beach Volleyball Women's Beach Volleyball,Team
Weightlifting Men's Super-Heavyweight,Single
Rowing Men's Lightweight Coxless Fours,Team
"Wrestling Men's Light-Flyweight, Greco-Roman",Team
"Canoeing Men's Canadian Singles, 1,000 metres",Single
Sailing Mixed 5.5 metres,Single
"Equestrianism Mixed Jumping, Team",Team
Diving Men's Synchronized Platform,Team
Snowboarding Men's Halfpipe,Single
"Canoeing Women's Kayak Singles, Slalom",Single
Weightlifting Women's Flyweight,Single
Swimming Women's 100 metres Breaststroke,Single
Swimming Women's 200 metres Breaststroke,Single
"Wrestling Men's Middleweight B, Greco-Roman",Team
Athletics Men's Stone Throw,Single
"Athletics Men's Javelin Throw, Freestyle",Single
Athletics Men's Pentathlon (Ancient),Single
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Single
Swimming Women's 100 metres Butterfly,Single
Weightlifting Men's Heavyweight I,Single
"Athletics Women's 3,000 metres Steeplechase",Single
"Athletics Men's Shot Put, Both Hands",Single
"Ski Jumping Men's Large Hill, Individual",Single
"Ski Jumping Men's Large Hill, Team",Team
Shooting Women's Trap,Single
Badminton Men's Doubles,Team
Swimming Women's 4 x 200 metres Freestyle Relay,Team
Athletics Men's 10 kilometres Walk,Single
Athletics Women's 20 kilometres Walk,Single
